title,price,rating,reviews,availability
"STGAubron Gaming Desktop PC, Intel Core I5 3.3Ghz up to 3.7Ghz, AMD Radeon RX 550 4G GDDR5, 16G Ram, 512G SSD, WiFi, BT 5.0, RGB Fan x 3, RGB Keybaord & Mouse, RGB Mouse Pad, W10H64",,3.7 out of 5 stars,247 ratings,In Stock
"STGAubron Gaming Desktop PC,AMD Ryzen 7 5700X up to 4.6G,32G DDR4,GeForce RTX 3060 Ti 8G GDDR6,1T SSD,WiFi,BT 5.0,RGB Fan x 7,RGB Keyboard&Mouse&Mouse Pad,RGB BT Sound Bar,RGB BT Gaming Mic,W11H64",,3.6 out of 5 stars,87 ratings,In Stock
"STGAubron Gaming Desktop PC,Intel Core i7 3.4G up to 3.9G,GeForce GTX1660Ti 6G GDDR6,32G,1T SSD,WiFi,BT 5.0,RGB Fanx6,RGB Keybaord&Mouse&Mouse Pad,RGB BT Sound Bar,RGB BT Gaming Mic,W10H64",,3.6 out of 5 stars,87 ratings,In Stock
"Skytech Gaming Archangel Gaming PC Desktop – Intel Core i7 12700F 2.1 GHz, NVIDIA RTX 4060, 1TB NVME SSD, 16GB DDR4 RAM 3200, 600W Gold PSU, 240mm AIO, 11AC Wi-Fi, Windows 11 Home 64-bi,White",,4.3 out of 5 stars,22 ratings,In Stock
"Skytech Shadow Gaming PC Desktop – AMD Ryzen 7 5700X 3.4 GHz, NVIDIA RTX 4060, 1TB NVME SSD, 16GB DDR4 RAM 3200, 600W Gold PSU, 11AC Wi-Fi, Windows 11 Home 64-bit,Black",,4.2 out of 5 stars,51 ratings,In Stock
"HP Gaming PC Desktop Computer - Intel Quad I5 up to 3.6GHz, GeForce GTX 1660 Super GDDR6 6G, 16GB Memory, 512G SSD + 3TB, RGB Keyboard & Mouse, WiFi & Bluetooth 5.0, Win 10 Pro (Renewed)",,4.1 out of 5 stars,39 ratings,In Stock
"Skytech Gaming Nebula Gaming PC Desktop – Intel Core i5 13400F 2.5 GHz, NVIDIA RTX 4060, 1TB NVME SSD, 16GB DDR4 RAM 3200, 600W Gold PSU, 11AC Wi-Fi, Windows 11 Home 64-bit,Black",,4.5 out of 5 stars,"2,503 ratings",
"Skytech Gaming Skytech Archangel Gaming PC Desktop – Intel Core i5 12400F 2.5 GHz, NVIDIA RTX 4060 Ti, 1TB NVME SSD, 16GB DDR4 RAM 3200, 650W Gold PSU, 11AC Wi-Fi, Windows 11 Home 64-bit,White",,4.4 out of 5 stars,471 ratings,In Stock
"Skytech Gaming Siege Gaming PC Desktop – Intel Core i7 13700F 2.1 GHz, NVIDIA RTX 4060 Ti, 1TB NVME SSD, 32GB DDR5 RAM RGB, 650W Gold PSU, 360mm AIO, 11AC Wi-Fi, Windows 11 Home 64-bit",,4.2 out of 5 stars,396 ratings,In Stock
"Dell RGB Gaming Desktop Computer PC, Intel Core i5, GeForce GT 1030 2GB GDDR5, 16GB RAM, 512GB SSD, 24 Inch HDMI Monitor, RGB Keyboard Mouse and Headset, WiFi, Windows 10 Pro (Renewed)",,4.1 out of 5 stars,"2,751 ratings",In Stock
"SAAV T101 Gaming Computer – Powerful, Prebuilt Gaming PC with Intel Core i5 3.4GHz, 16GB RAM, Radeon RX580, 1TB SSD – Ultimate Gaming Desktop for Gaming Setup with WiFi 6 & Bluetooth 5, Windows 10",,3.7 out of 5 stars,12 ratings,In Stock
"CyberPowerPC Gamer Xtreme VR Gaming PC, Intel Core i7-13700F 2.1GHz, GeForce RTX 4060 Ti 16GB, 16GB DDR5, 1TB NVMe SSD, Wi-Fi Ready & Windows 11 Home (GXiVR8040A14)",,4.5 out of 5 stars,44 ratings,Only 11 left in stock (more on the way)
"Skytech Gaming Shiva Gaming PC Desktop – Intel Core i5 12400F 2.5 GHz, NVIDIA RTX 4060, 1TB NVME SSD, 16GB DDR4 RAM 3200, 650W Gold PSU, 11AC Wi-Fi, Windows 11 Home 64-bit,White",,4.4 out of 5 stars,39 ratings,In Stock
"STGAubron Gaming Desktop PC,Intel Core i9-11900F up to 5.2G,GeForce RTX 3070 8G GDDR6,32G DDR4,2T SSD,WiFi,BT 5.0,RGB Fan x 7,RGB Keyboard&Mouse&Mouse Pad,RGB BT Sound Bar,RGB BT Gaming Mic,W11H64",,3.6 out of 5 stars,356 ratings,In Stock
"CyberpowerPC Gamer Xtreme VR Gaming PC, Intel Core i7-12700F 2.1GHz, GeForce RTX 3060 12GB, 16GB DDR4, 1TB NVMe SSD, WiFi & Win 11 Home (GXiVR8040A12), Black",,4.6 out of 5 stars,990 ratings,In Stock
"STGAubron Gaming Desktop,Intel Core i9-11900F up to 5.2G,GeForce RTX 3070 8G GDDR6,32G DDR4,2T SSD,600M WiFi,BT 5.0,RGB Fan x 7,RGB Keyboard&Mouse&Mouse Pad,W11H64",,3.8 out of 5 stars,391 ratings,In Stock
